code_insee;commune;niveau;departement;code_region;population_totale;population_18_75;niveau_vie_median;taux_vapotage_quotidien_pct;taux_p05;taux_p95;taux_vapotage_actuel_pct;nb_vapoteurs_quotidiens_estimes;nb_vapoteurs_actuels_estimes;taux_tabagisme_quotidien_pct;vapoteurs_pct_hommes;vapoteurs_pct_femmes;vapoteurs_pct_age_18_24;vapoteurs_pct_age_25_39;vapoteurs_pct_age_40_54;vapoteurs_pct_age_55_64;vapoteurs_pct_age_65_75;vapoteurs_pct_dipl_inf_bac;vapoteurs_pct_dipl_bac;vapoteurs_pct_dipl_sup_bac;vapoteurs_pct_actif_occ;vapoteurs_pct_chomeur;vapoteurs_pct_etudiant;vapoteurs_pct_retraite;vapoteurs_pct_autre_inactif;vapoteurs_pct_fumeurs_double_usage;vapoteurs_pct_ex_fumeurs;vapoteurs_pct_jamais_fumeurs
01001;L'Abergement-Clémenciat;commune;01;84;860.0;601.0;28270.0;5.07;4.63;5.55;6.9;30.0;41.0;22.2;56.4;43.6;9.1;33.4;35.2;17.1;5.2;48.9;24.4;26.7;83.0;6.5;4.6;2.8;3.2;46.7;50.4;2.9
01002;L'Abergement-de-Varey;commune;01;84;270.0;180.0;28140.0;5.35;4.88;5.86;7.33;10.0;13.0;21.64;59.2;40.8;11.2;28.0;46.2;10.5;4.2;33.9;26.4;39.7;85.9;1.4;7.4;1.9;3.4;46.1;51.0;2.9
01004;Ambérieu-en-Bugey;commune;01;84;15934.0;10863.0;24210.0;5.47;4.97;5.95;7.51;594.0;815.0;24.04;56.9;43.1;15.4;38.4;29.6;12.4;4.2;48.3;24.6;27.1;72.2;12.1;5.8;1.7;8.2;48.7;48.6;2.7
01005;Ambérieux-en-Dombes;commune;01;84;1906.0;1351.0;28120.0;4.34;3.9;4.85;5.91;59.0;80.0;23.04;56.3;43.7;10.0;36.5;34.0;15.2;4.2;51.2;23.3;25.5;82.0;6.3;4.2;2.4;5.1;47.6;49.6;2.8
01006;Ambléon;commune;01;84;115.0;89.0;0.0;4.68;4.26;5.13;6.32;4.0;6.0;21.78;63.2;36.8;8.2;35.2;26.4;22.8;7.4;54.3;19.5;26.2;73.5;9.0;3.0;6.2;8.3;46.2;50.9;2.9
01007;Ambronay;commune;01;84;2841.0;1957.0;28030.0;4.33;3.89;4.84;5.91;85.0;116.0;22.24;56.5;43.5;11.2;32.5;38.5;12.9;4.8;42.8;26.0;31.2;82.5;6.5;5.3;2.1;3.6;46.8;50.4;2.9
01008;Ambutrix;commune;01;84;760.0;546.0;28240.0;5.06;4.61;5.53;6.88;28.0;38.0;22.05;56.8;43.2;10.2;31.4;34.9;18.8;4.7;47.7;22.7;29.6;82.8;4.5;5.5;2.7;4.5;46.5;50.6;2.9
01009;Andert-et-Condon;commune;01;84;348.0;247.0;28750.0;4.96;4.52;5.43;6.74;12.0;17.0;21.34;57.1;42.9;9.4;30.5;39.2;14.0;6.9;43.1;28.7;28.2;85.9;2.3;4.5;2.5;4.8;45.7;51.4;2.9
01010;Anglefort;commune;01;84;1174.0;809.0;27670.0;5.29;4.81;5.77;7.23;43.0;58.0;23.62;56.5;43.5;11.3;34.8;35.2;14.6;4.2;56.1;24.7;19.2;77.2;7.0;5.3;2.7;7.8;48.3;49.0;2.8
01011;Apremont;commune;01;84;415.0;282.0;28020.0;5.13;4.69;5.59;7.01;15.0;20.0;22.14;59.9;40.1;11.6;28.8;39.6;13.7;6.3;45.7;23.6;30.7;81.6;5.9;5.3;1.1;6.1;46.6;50.5;2.9
01012;Aranc;commune;01;84;331.0;230.0;27230.0;4.92;4.48;5.38;6.68;11.0;15.0;22.07;56.2;43.8;8.5;26.5;40.6;18.0;6.4;54.0;21.9;24.1;80.6;7.5;4.6;2.9;4.4;46.6;50.6;2.9
01013;Arandas;commune;01;84;138.0;104.0;25070.0;5.0;4.56;5.47;6.85;5.0;7.0;22.05;63.8;36.2;14.6;18.0;41.6;17.9;7.9;49.5;25.9;24.6;76.9;8.5;5.6;2.5;6.5;46.5;50.6;2.9
01014;Arbent;commune;01;84;3555.0;2441.0;25250.0;4.88;4.43;5.33;6.68;119.0;163.0;23.53;57.5;42.5;13.5;30.7;35.0;15.0;5.9;60.6;20.5;18.9;73.5;9.9;6.0;2.0;8.6;48.2;49.1;2.8
01015;Arboys en Bugey;commune;01;84;710.0;483.0;26670.0;5.04;4.6;5.51;6.87;24.0;33.0;21.64;57.4;42.6;10.9;32.8;33.9;16.0;6.5;44.4;23.4;32.2;86.5;2.3;4.0;2.4;4.8;46.1;51.0;2.9
