code_insee;commune;population_18_75;taux_p05;taux_median_mc;taux_p95;largeur_ic90;taux_vapotage_quotidien_pct
01001;L'Abergement-Clémenciat;601.0;4.13;5.02;6.01;1.88;5.04
01002;L'Abergement-de-Varey;180.0;4.35;5.26;6.31;1.96;5.28
01004;Ambérieu-en-Bugey;10863.0;4.4;5.32;6.34;1.94;5.34
01005;Ambérieux-en-Dombes;1351.0;4.29;5.21;6.25;1.96;5.23
01006;Ambléon;89.0;3.73;4.55;5.46;1.73;4.56
01007;Ambronay;1957.0;4.29;5.16;6.19;1.91;5.2
01008;Ambutrix;546.0;4.11;5.0;6.0;1.89;5.01
01009;Andert-et-Condon;247.0;4.07;4.92;5.92;1.85;4.94
01010;Anglefort;809.0;4.3;5.21;6.21;1.92;5.23
01011;Apremont;282.0;4.18;5.04;6.05;1.87;5.07
01012;Aranc;230.0;3.94;4.8;5.76;1.82;4.82
01013;Arandas;104.0;3.91;4.75;5.7;1.79;4.77
01014;Arbent;2441.0;4.07;4.97;5.96;1.88;5.0
01015;Arboys en Bugey;483.0;4.05;4.91;5.9;1.85;4.93
01016;Arbigny;306.0;4.16;5.05;6.04;1.88;5.07
01017;Argis;290.0;3.96;4.81;5.78;1.82;4.84
01019;Armix;19.0;3.59;4.38;5.31;1.72;4.41
01021;Ars-sur-Formans;1068.0;4.2;5.09;6.1;1.89;5.11
01022;Artemare;792.0;3.81;4.63;5.57;1.76;4.66
01023;Asnières-sur-Saône;56.0;4.2;5.11;6.12;1.93;5.13
01024;Attignat;2336.0;4.23;5.12;6.13;1.9;5.15
01025;Bâgé-Dommartin;2839.0;4.18;5.07;6.07;1.88;5.09
01026;Bâgé-le-Châtel;606.0;3.98;4.83;5.81;1.83;4.86
01027;Balan;2236.0;4.98;5.99;7.19;2.21;6.03
01028;Baneins;409.0;4.11;5.0;6.0;1.89;5.03
01029;Beaupont;526.0;4.22;5.15;6.18;1.96;5.18
01030;Beauregard;623.0;4.39;5.3;6.38;1.99;5.33
01031;Bellignat;2441.0;4.14;5.02;6.0;1.86;5.05
01032;Béligneux;2298.0;4.5;5.42;6.51;2.01;5.45
01033;Valserhône;11603.0;4.41;5.32;6.37;1.96;5.35
01034;Belley;6222.0;4.01;4.87;5.84;1.82;4.9
01035;Belleydoux;225.0;3.93;4.8;5.78;1.85;4.82
01036;Valromey-sur-Séran;945.0;3.7;4.49;5.42;1.71;4.52
01037;Bénonces;224.0;4.21;5.11;6.11;1.9;5.12
01038;Bény;537.0;4.1;4.97;5.94;1.84;4.99
01040;Béréziat;327.0;4.31;5.26;6.28;1.97;5.28
01041;Bettant;550.0;4.24;5.12;6.14;1.91;5.15
01042;Bey;208.0;4.08;4.98;5.97;1.89;5.0
01043;Beynost;3506.0;4.3;5.19;6.22;1.93;5.22
01044;Billiat;473.0;4.52;5.46;6.54;2.01;5.5
01045;Birieux;192.0;4.44;5.35;6.43;1.99;5.38
01046;Biziat;623.0;4.25;5.17;6.19;1.95;5.19
01047;Blyes;964.0;4.7;5.66;6.79;2.09;5.69
01049;La Boisse;2342.0;4.27;5.16;6.18;1.91;5.18
01050;Boissey;247.0;4.66;5.66;6.8;2.14;5.68
01051;Bolozon;73.0;3.87;4.7;5.63;1.77;4.72
01052;Bouligneux;219.0;3.74;4.54;5.48;1.75;4.57
01053;Bourg-en-Bresse;28544.0;4.19;5.08;6.06;1.87;5.1
01054;Bourg-Saint-Christophe;1067.0;4.4;5.31;6.39;2.0;5.34
01056;Boyeux-Saint-Jérôme;245.0;4.15;5.01;6.01;1.86;5.04
01057;Boz;349.0;4.23;5.14;6.15;1.92;5.16
01058;Brégnier-Cordon;552.0;4.09;4.97;5.94;1.85;4.99
01060;Brénod;389.0;4.1;4.95;5.94;1.84;4.98
01061;Brens;822.0;3.88;4.72;5.66;1.79;4.74
01062;Bressolles;712.0;4.23;5.11;6.13;1.9;5.14
01063;Brion;408.0;3.94;4.77;5.74;1.8;4.8
01064;Briord;797.0;4.39;5.34;6.4;2.01;5.36
01065;Buellas;1297.0;3.99;4.84;5.81;1.82;4.86
01066;La Burbanche;73.0;3.69;4.5;5.42;1.73;4.53
01067;Ceignes;190.0;4.15;5.07;6.09;1.93;5.08
01068;Cerdon;502.0;4.27;5.2;6.22;1.95;5.22
01069;Certines;1106.0;4.09;4.96;5.96;1.87;4.99
01071;Cessy;4088.0;4.57;5.5;6.61;2.04;5.53
01072;Ceyzériat;2256.0;4.11;4.95;5.94;1.83;4.98
01073;Ceyzérieu;751.0;3.78;4.58;5.51;1.73;4.61
