code_iris;nom_iris;code_commune;population_18_75;taux_vapotage_quotidien_pct;taux_vapotage_actuel_pct;nb_vapoteurs_quotidiens_estimes;taux_tabagisme_quotidien_pct;vapoteurs_pct_hommes;vapoteurs_pct_femmes;vapoteurs_pct_age_18_29;vapoteurs_pct_age_30_44;vapoteurs_pct_age_45_59;vapoteurs_pct_age_60_74;vapoteurs_pct_dipl_inf_bac;vapoteurs_pct_dipl_bac;vapoteurs_pct_dipl_sup_bac;vapoteurs_pct_actif_occ;vapoteurs_pct_chomeur;vapoteurs_pct_etudiant;vapoteurs_pct_retraite;vapoteurs_pct_autre_inactif;vapoteurs_pct_fumeurs_double_usage;vapoteurs_pct_ex_fumeurs;vapoteurs_pct_jamais_fumeurs;vapoteurs_pct_motif_sevrage;vapoteurs_pct_motif_reduction_sante;vapoteurs_pct_motif_economique;vapoteurs_pct_motif_recreatif;taux_p05;taux_p95
010040101;Les Pérouses-Triangle d'Activités;01004;1359.0;5.81;8.04;79.0;24.74;58.8;41.2;38.1;37.6;16.9;7.3;51.7;24.4;23.9;75.0;7.7;10.0;1.1;6.1;49.4;47.9;2.7;37.7;26.3;20.4;15.6;5.28;6.34
010040102;Longeray-Gare;01004;2720.0;5.59;7.7;152.0;25.48;57.0;43.0;31.6;34.3;24.5;9.7;60.4;21.4;18.1;64.6;17.3;4.9;1.5;11.7;50.1;47.2;2.7;37.9;26.9;20.8;14.4;5.08;6.1
010040201;Centre-Saint-Germain-Vareilles;01004;2955.0;5.49;7.54;162.0;24.27;54.0;46.0;29.8;35.3;24.8;10.2;52.0;23.0;25.1;70.7;13.5;5.0;1.6;9.3;48.9;48.3;2.7;38.6;26.7;20.7;14.0;4.99;5.99
010040202;Tiret-Les Allymes;01004;3520.0;5.23;7.15;184.0;22.47;54.7;45.3;22.9;36.4;28.6;12.1;41.3;24.5;34.2;75.5;9.5;6.7;2.6;5.7;47.0;50.2;2.8;40.2;26.7;20.7;12.5;4.75;5.71
010330102;Centre Ville;01033;1847.0;5.89;8.12;109.0;24.89;55.9;44.1;31.8;38.2;23.0;7.0;47.2;25.0;27.8;72.4;15.3;2.8;0.9;8.5;49.6;47.7;2.7;38.1;26.7;20.7;14.4;5.35;6.43
010330103;Lancrans-Coupy-Vanchy;01033;1632.0;5.47;7.48;89.0;24.2;54.7;45.3;21.9;38.8;29.4;10.0;51.7;21.4;26.9;66.8;16.3;4.2;1.6;11.1;48.9;48.4;2.7;39.4;27.2;21.1;12.3;4.97;5.97
010330201;Arc Vouvray-Gare-Châtillon;01033;1870.0;5.37;7.34;100.0;24.03;58.3;41.7;22.6;34.7;31.5;11.1;59.8;18.5;21.7;71.8;13.2;4.4;2.1;8.6;48.7;48.6;2.7;39.4;27.1;21.0;12.4;4.88;5.86
010330202;Plateau de Musinens;01033;1965.0;5.18;7.1;102.0;24.23;55.9;44.1;25.3;31.6;30.5;12.6;64.8;19.0;16.2;60.2;15.1;6.3;2.2;16.3;48.9;48.4;2.7;39.0;27.0;20.9;13.1;4.71;5.65
010330301;Arlod;01033;1151.0;5.35;7.33;62.0;24.1;54.7;45.3;24.7;33.2;31.9;10.2;60.0;23.2;16.8;67.1;12.6;6.8;2.4;11.0;48.8;48.5;2.7;39.2;27.0;20.9;12.9;4.86;5.84
010330401;Châtillon-en-Michaille;01033;2751.0;5.6;7.66;154.0;23.75;56.5;43.5;22.2;40.1;29.1;8.6;47.6;23.5;28.9;76.8;10.3;5.5;1.6;5.8;48.4;48.8;2.8;39.6;27.1;21.0;12.3;5.09;6.11
010340101;Ouest;01034;2178.0;5.03;6.87;109.0;22.71;57.3;42.7;24.6;32.8;28.7;14.0;53.1;21.2;25.7;76.9;8.1;5.2;2.8;7.0;47.3;49.9;2.8;39.9;26.6;20.6;12.9;4.57;5.5
010340102;Centre et Est;01034;2514.0;4.99;6.84;125.0;23.07;56.0;44.0;25.6;30.1;30.3;14.0;56.0;20.5;23.6;68.9;11.7;6.5;2.3;10.6;47.7;49.5;2.8;39.6;26.7;20.6;13.1;4.53;5.46
010340103;Sud-Ouest;01034;1459.0;5.1;6.99;74.0;24.12;54.9;45.1;24.9;31.8;31.2;12.0;64.3;20.0;15.7;66.1;13.2;7.0;2.5;11.3;48.8;48.5;2.7;39.1;27.0;20.9;13.0;4.63;5.58
010530101;Centre Ville;01053;1452.0;6.09;8.5;88.0;23.85;56.1;43.9;43.7;28.3;22.1;5.8;37.3;28.2;34.5;67.9;12.7;11.6;0.7;7.1;48.5;48.7;2.8;37.7;25.8;20.0;16.5;5.51;6.69
010530102;Champ de Foire;01053;1276.0;5.59;7.67;71.0;23.61;57.5;42.5;28.8;34.1;25.5;11.6;49.9;20.5;29.6;67.0;15.4;8.2;1.4;8.1;48.2;49.0;2.8;39.0;26.6;20.6;13.8;5.06;6.14
010530103;Préfecture;01053;1393.0;5.66;7.83;79.0;23.16;56.4;43.6;38.2;29.7;21.3;10.7;44.3;21.5;34.1;68.0;13.0;10.1;1.0;7.9;47.8;49.4;2.8;38.4;25.9;20.1;15.6;5.12;6.22
010530201;Citadelle;01053;1555.0;5.28;7.21;82.0;22.85;53.0;47.0;22.3;33.3;30.5;13.8;51.9;18.7;29.4;69.1;12.8;6.7;2.1;9.3;47.4;49.8;2.8;40.0;26.8;20.8;12.3;4.78;5.8
010530202;Mail;01053;1421.0;5.87;8.13;83.0;25.39;51.9;48.1;36.2;32.0;24.8;7.0;60.1;19.1;20.9;59.6;18.4;9.1;1.4;11.5;50.1;47.3;2.7;37.5;26.6;20.6;15.3;5.31;6.45
010530203;Peloux;01053;1381.0;5.66;7.78;78.0;23.9;56.0;44.0;27.4;32.2;30.6;9.8;51.3;19.3;29.4;69.8;14.0;6.0;1.5;8.6;48.5;48.7;2.8;39.0;26.8;20.7;13.5;5.12;6.22
010530301;Gare;01053;1980.0;5.64;7.78;112.0;22.29;56.8;43.2;32.6;32.1;25.2;10.1;34.4;24.6;41.0;75.2;9.1;7.6;2.1;6.0;46.8;50.3;2.8;39.3;26.0;20.2;14.5;5.1;6.2
010530302;Brou;01053;2164.0;5.57;7.67;121.0;23.5;51.8;48.2;30.5;31.4;27.5;10.6;50.3;21.7;28.0;69.6;12.8;7.3;1.6;8.6;48.1;49.1;2.8;38.9;26.5;20.5;14.2;5.04;6.12
010530401;Vennes Ouest;01053;1560.0;5.28;7.24;82.0;22.96;52.8;47.2;27.4;30.0;28.3;14.3;52.4;22.2;25.5;65.5;14.9;7.2;2.2;10.2;47.5;49.6;2.8;39.5;26.5;20.5;13.5;4.78;5.8
010530402;Vennes Est;01053;1679.0;5.46;7.47;92.0;22.58;54.9;45.1;25.4;33.4;29.0;12.1;45.3;20.1;34.6;78.5;6.3;5.7;2.1;7.4;47.1;50.0;2.8;39.9;26.5;20.6;13.1;4.94;6.0
010530501;Baudières;01053;1035.0;4.67;6.37;48.0;20.43;47.4;52.6;25.8;24.5;29.4;20.3;48.6;18.8;32.6;69.4;9.6;8.6;3.9;8.5;44.6;52.4;3.0;41.0;25.9;20.1;13.1;4.23;5.13
010530502;Sardières;01053;1982.0;5.31;7.27;105.0;22.82;52.0;48.0;25.1;31.8;30.1;13.0;52.7;22.0;25.3;68.6;12.4;9.3;2.6;7.1;47.4;49.8;2.8;39.8;26.6;20.6;13.0;4.81;5.83
010530503;Croix Blanche;01053;2064.0;5.82;8.0;120.0;26.36;57.0;43.0;27.5;36.5;27.0;9.0;64.1;21.6;14.4;52.3;21.1;6.6;1.3;18.7;51.0;46.4;2.6;37.8;27.4;21.2;13.6;5.27;6.39
010530601;Pont des Chèvres;01053;1734.0;5.53;7.63;96.0;24.05;55.3;44.7;36.2;30.7;21.4;11.7;60.3;23.3;16.4;61.4;15.0;12.7;2.0;9.0;48.7;48.5;2.7;38.2;26.3;20.3;15.2;5.0;6.08
010530602;Reyssouze Ouest;01053;1191.0;5.52;7.56;66.0;25.57;53.8;46.2;27.3;36.6;23.5;12.7;65.7;20.8;13.4;49.9;24.1;6.0;2.0;18.0;50.2;47.1;2.7;38.2;27.2;21.0;13.5;5.0;6.06
010530603;Reyssouze Est;01053;1096.0;5.64;7.73;62.0;25.84;51.3;48.7;26.5;37.5;26.4;9.7;68.0;18.9;13.1;55.6;18.5;6.3;2.0;17.6;50.5;46.9;2.7;38.2;27.3;21.1;13.4;5.1;6.2
010530604;Cenord-Grand Challes;01053;949.0;5.14;7.01;49.0;22.98;61.3;38.7;22.9;29.3;30.4;17.4;58.4;17.1;24.6;70.5;8.2;3.4;2.8;15.1;47.6;49.6;2.8;39.9;26.8;20.8;12.5;4.65;5.65
010530701;Granges Bardes-Alagnier;01053;2419.0;6.06;8.35;147.0;27.28;71.4;28.6;31.8;37.0;23.4;7.8;60.2;21.5;18.3;49.9;8.0;6.3;1.0;34.8;51.9;45.6;2.6;37.1;27.3;21.1;14.5;5.48;6.66
011430101;Centre;01143;2570.0;4.84;6.6;124.0;19.52;54.0;46.0;19.3;43.7;28.1;8.9;28.3;20.6;51.1;81.8;6.0;5.0;0.8;6.4;43.5;53.5;3.0;42.2;26.0;20.2;11.5;4.35;5.32
011430102;Nord-Ouest;01143;1919.0;4.76;6.5;91.0;19.01;55.0;45.0;17.3;39.2;34.9;8.6;23.2;20.0;56.9;77.8;7.2;6.9;0.9;7.2;42.9;54.1;3.1;42.8;26.0;20.2;10.9;4.28;5.24
011430103;Sud-Ouest;01143;2498.0;4.81;6.57;120.0;19.61;54.7;45.3;20.3;40.7;30.0;9.1;30.2;20.7;49.1;77.7;8.8;6.3;0.9;6.3;43.6;53.3;3.0;42.1;26.0;20.2;11.7;4.32;5.29
011600101;Ouest;01160;2868.0;6.26;8.58;180.0;22.53;54.5;45.5;24.6;44.3;24.7;6.4;26.7;19.4;53.9;74.3;12.3;5.4;0.6;7.4;47.1;50.1;2.8;40.0;26.6;20.6;12.9;5.64;6.92
011600102;Centre;01160;2193.0;6.16;8.44;135.0;21.96;55.6;44.4;23.8;42.7;26.6;6.8;24.5;16.6;58.9;76.8;10.4;4.9;0.9;7.1;46.4;50.7;2.9;40.3;26.5;20.5;12.7;5.54;6.8
011600103;Est;01160;3086.0;6.2;8.49;191.0;22.99;53.1;46.9;23.3;42.6;27.2;6.8;32.8;20.9;46.3;71.7;12.7;5.0;0.7;9.9;47.6;49.6;2.8;39.9;26.8;20.8;12.6;5.58;6.85
011730101;Centre;01173;2689.0;5.29;7.25;142.0;22.61;57.6;42.4;25.0;44.6;23.1;7.3;42.8;20.8;36.4;77.6;11.7;4.2;0.5;6.0;47.2;50.0;2.8;39.9;26.6;20.6;13.0;4.78;5.8
